                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.4656,                 1.4557,                 1.5444,                0.29382,                    0.5,                0.18769,                0.07414,                 2.6457,                 3.3873,                 2.9496,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.5241,                 1.4429,                 1.7872,                0.29382,                    0.5,                0.18769,                0.07414,                 2.6457,                 3.3873,                 2.9496,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.4177,                 1.5276,                 1.6562,                0.36027,                0.33333,                0.22628,                0.08168,                 2.5757,                 3.0668,                 2.7997,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.3439,                 1.3907,                 1.4703,                0.38365,                   0.75,                0.45576,                0.12456,                 2.2044,                  2.639,                 2.4577,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1984,                  1.256,                 1.4633,                0.38365,                   0.75,                0.45576,                0.12456,                 2.2044,                  2.639,                 2.4577,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.4777,                 1.3532,                 1.6678,                0.31442,                0.41667,                0.37449,                0.10512,                  2.136,                 4.5917,                 2.4684,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.4038,                 1.4517,                 1.5451,                0.31442,                0.41667,                0.37449,                0.10512,                  2.136,                 4.5917,                 2.4684,               0.000656,               0.000656,               0.000656
                     50,                 1.5665,                 1.4133,                 1.5988,                0.70494,                   0.25,                0.16791,                 0.0743,                 2.2802,                 4.0271,                 2.5166,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.5572,                 1.3902,                 1.7174,                 0.4679,                0.41667,                0.34585,                0.13535,                 2.1781,                  2.939,                 2.4703,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4803,                 1.3426,                 1.5599,                 0.4679,                0.41667,                0.34585,                0.13535,                 2.1781,                  2.939,                 2.4703,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.5287,                 1.4592,                 1.5229,                0.58173,                0.58333,                0.54624,                0.26467,                 2.2066,                 2.3238,                 2.5163,              0.0006065,              0.0006065,              0.0006065
